Epoch,Train Loss_DeepFE+MLP,Train Loss_FE+DR+MLP,Train Loss_FE+MLP,Train Loss_MLP,Val Loss_DeepFE+MLP,Val Loss_FE+DR+MLP,Val Loss_FE+MLP,Val Loss_MLP,Train Acc_DeepFE+MLP,Train Acc_FE+DR+MLP,Train Acc_FE+MLP,Train Acc_MLP,Val Acc_DeepFE+MLP,Val Acc_FE+DR+MLP,Val Acc_FE+MLP,Val Acc_MLP
1,4.5702,4.6371,4.5724,3.6719,4.531,4.5577,4.5195,3.5166,0.0336,0.039,0.0406,0.1752,0.0282,0.0398,0.0416,0.1718
2,4.4643,4.5614,4.4512,3.6659,4.4015,4.5029,4.3931,3.5154,0.0678,0.0496,0.0588,0.1783,0.0624,0.0492,0.0562,0.1736
3,4.2965,4.5081,4.3062,3.6653,4.2281,4.425,4.2525,3.5156,0.0786,0.0604,0.0746,0.1786,0.0748,0.0598,0.0694,0.1752
4,4.127,4.4396,4.1692,3.6605,4.0947,4.3379,4.1402,3.5067,0.0938,0.0647,0.0838,0.1821,0.0882,0.0634,0.0802,0.174
5,4.021,4.3619,4.0724,3.644,4.0115,4.2577,4.0715,3.5045,0.1076,0.0718,0.098,0.181,0.0978,0.0684,0.0904,0.1784
6,3.947,4.3006,4.0056,3.6432,3.9559,4.1947,4.0218,3.4951,0.1134,0.079,0.1083,0.1834,0.1044,0.0756,0.0958,0.1798
7,3.8834,4.2483,3.9534,3.6322,3.9018,4.1427,3.9706,3.4968,0.1211,0.0855,0.1166,0.1848,0.1074,0.08,0.1072,0.179
8,3.8252,4.2086,3.9074,3.6293,3.8414,4.1052,3.9344,3.4883,0.1361,0.088,0.1208,0.1844,0.1222,0.0838,0.1132,0.179
9,3.7731,4.1727,3.8664,3.6246,3.7962,4.0702,3.8934,3.482,0.1418,0.0969,0.1309,0.1855,0.1302,0.0904,0.118,0.1788
10,3.7283,4.1441,3.8284,3.6151,3.7612,4.0413,3.8637,3.4769,0.1468,0.1032,0.1359,0.1912,0.1384,0.0948,0.1194,0.1876
11,3.692,4.1165,3.7934,3.6118,3.7234,4.0107,3.8363,3.4701,0.1544,0.1057,0.1392,0.1905,0.147,0.0994,0.1268,0.1852
12,3.6574,4.0915,3.7614,3.602,3.7055,3.987,3.8072,3.4717,0.1597,0.1113,0.1428,0.1911,0.148,0.1048,0.1328,0.1836
13,3.6296,4.0634,3.7325,3.5924,3.6789,3.9609,3.7841,3.4622,0.1631,0.117,0.1501,0.1917,0.1544,0.1106,0.1342,0.1828
14,3.6019,4.0394,3.7058,3.5971,3.6494,3.9377,3.7577,3.4605,0.1736,0.1206,0.1536,0.1949,0.1622,0.1196,0.1392,0.1886
15,3.5762,4.0169,3.6821,3.5835,3.6422,3.9125,3.739,3.4503,0.175,0.1258,0.1559,0.1959,0.1568,0.12,0.144,0.1894
16,3.5548,3.9939,3.6602,3.5781,3.6208,3.8907,3.7149,3.4461,0.1794,0.1295,0.163,0.1936,0.1608,0.1244,0.1514,0.1864
17,3.5326,3.9681,3.6386,3.5714,3.6037,3.8697,3.6991,3.45,0.1838,0.1336,0.1664,0.1979,0.1612,0.127,0.1522,0.1896
18,3.5113,3.9504,3.6199,3.5656,3.5827,3.8472,3.6843,3.4332,0.1888,0.1355,0.1716,0.2003,0.1686,0.1322,0.1578,0.1924
19,3.4902,3.9293,3.6015,3.5606,3.571,3.8273,3.6711,3.4426,0.1877,0.1393,0.174,0.2015,0.1716,0.134,0.1596,0.191
20,3.4732,3.9069,3.5843,3.5614,3.5495,3.8173,3.6571,3.4406,0.1945,0.142,0.1788,0.2021,0.173,0.1382,0.1582,0.1914
21,3.4535,3.9009,3.5659,3.5498,3.5336,3.8059,3.6409,3.4234,0.2001,0.1446,0.1801,0.2034,0.1776,0.1374,0.1652,0.1926
22,3.435,3.8953,3.5508,3.5462,3.5381,3.7983,3.6301,3.4282,0.1978,0.1466,0.185,0.2023,0.1702,0.1396,0.1654,0.1886
23,3.4157,3.8786,3.5345,3.5356,3.5168,3.7854,3.6242,3.4184,0.2015,0.1487,0.1833,0.2045,0.1736,0.1428,0.1642,0.1904
24,3.4006,3.8775,3.5203,3.5306,3.4923,3.7802,3.6106,3.4061,0.2082,0.1496,0.1864,0.2055,0.188,0.1442,0.1664,0.1958
25,3.3834,3.8649,3.5055,3.5284,3.4902,3.7745,3.5998,3.4098,0.2102,0.1523,0.1895,0.2089,0.1824,0.1448,0.1632,0.196
26,3.3658,3.8613,3.4922,3.525,3.4849,3.7651,3.5874,3.406,0.2106,0.1518,0.1919,0.2091,0.1856,0.145,0.1666,0.1986
27,3.3516,3.8488,3.4788,3.5143,3.458,3.7595,3.5776,3.4002,0.2172,0.1535,0.1929,0.2109,0.188,0.1434,0.1714,0.2012
28,3.3366,3.8461,3.466,3.5098,3.4611,3.7515,3.5641,3.393,0.2178,0.1546,0.1999,0.2112,0.1896,0.15,0.1736,0.1972
29,3.3207,3.8327,3.4526,3.5033,3.4601,3.7447,3.5587,3.3978,0.2191,0.1559,0.1996,0.2123,0.1916,0.148,0.1764,0.199
30,3.3064,3.8286,3.4392,3.5002,3.4377,3.7358,3.5424,3.3904,0.2219,0.1572,0.2015,0.2117,0.1916,0.1482,0.1752,0.1988
31,3.291,3.8213,3.4283,3.498,3.4274,3.7302,3.5345,3.3832,0.2261,0.1575,0.2041,0.2107,0.1948,0.1508,0.1786,0.1964
32,3.277,3.8108,3.4163,3.4894,3.4086,3.7256,3.5337,3.3751,0.2289,0.1613,0.2031,0.2152,0.2006,0.153,0.177,0.201
33,3.2634,3.8065,3.4041,3.4869,3.3971,3.7174,3.5204,3.3807,0.2325,0.1607,0.2104,0.2185,0.2048,0.153,0.1818,0.2014
34,3.2508,3.8041,3.3934,3.485,3.3958,3.713,3.5158,3.3736,0.2324,0.1604,0.2085,0.2183,0.2018,0.1524,0.1796,0.201
35,3.2366,3.7989,3.381,3.4806,3.3854,3.7062,3.5095,3.3691,0.2373,0.1627,0.2106,0.2184,0.2052,0.155,0.1834,0.206
36,3.2237,3.7932,3.3709,3.4702,3.3912,3.7009,3.5054,3.3697,0.235,0.1622,0.2118,0.216,0.203,0.1526,0.1798,0.1994
37,3.2096,3.7827,3.3593,3.4666,3.3675,3.6952,3.4923,3.3593,0.2414,0.1656,0.2157,0.2158,0.209,0.1538,0.1832,0.1994
38,3.1956,3.777,3.35,3.4597,3.3705,3.6906,3.4805,3.3499,0.244,0.1664,0.2168,0.2195,0.2046,0.1566,0.185,0.2022
39,3.1831,3.7681,3.3389,3.4611,3.3591,3.6821,3.4689,3.3548,0.2454,0.1678,0.2184,0.2203,0.2078,0.1572,0.1886,0.2052
40,3.1691,3.7639,3.3296,3.4542,3.347,3.6815,3.4664,3.3433,0.2471,0.1684,0.2227,0.2242,0.21,0.1576,0.1898,0.2048
41,3.1589,3.761,3.3194,3.4457,3.3531,3.6773,3.4646,3.3413,0.2507,0.169,0.2218,0.2228,0.207,0.158,0.1914,0.2034
42,3.1455,3.76,3.3078,3.4464,3.3275,3.6772,3.4531,3.3488,0.2562,0.1696,0.224,0.226,0.2128,0.1584,0.194,0.2046
43,3.132,3.7562,3.2993,3.4384,3.3345,3.6721,3.4444,3.3465,0.2552,0.1705,0.2248,0.2218,0.2086,0.1582,0.195,0.204
44,3.117,3.7517,3.29,3.434,3.3211,3.6699,3.4439,3.3407,0.2558,0.1711,0.2306,0.2271,0.2124,0.1602,0.1958,0.2084
45,3.1069,3.7531,3.2809,3.4304,3.3501,3.6677,3.4301,3.3312,0.2498,0.1711,0.2315,0.2299,0.2118,0.1612,0.1938,0.2098
46,3.0942,3.7455,3.27,3.4245,3.3098,3.6641,3.4328,3.329,0.2607,0.1712,0.228,0.2281,0.2118,0.1602,0.1998,0.2072
47,3.0825,3.7494,3.2621,3.4266,3.2914,3.6658,3.428,3.3209,0.2644,0.172,0.233,0.2303,0.2182,0.1604,0.1892,0.2092
48,3.0687,3.7483,3.2524,3.4227,3.2973,3.6605,3.4182,3.3223,0.2664,0.1736,0.2363,0.2291,0.2142,0.1612,0.1948,0.2096
49,3.0587,3.7366,3.243,3.4097,3.3091,3.6569,3.4064,3.315,0.2644,0.1733,0.2361,0.2331,0.2208,0.1616,0.2012,0.2122
50,3.0455,3.7392,3.2351,3.4067,3.2788,3.6547,3.411,3.3086,0.2707,0.174,0.2374,0.233,0.2198,0.1614,0.2004,0.2098
51,3.0086,3.7349,3.2258,,3.2584,3.6533,3.4038,,0.2774,0.1748,0.2417,,0.2256,0.163,0.203,
52,3.0009,3.7266,3.2176,,3.2571,3.6484,3.3965,,0.2809,0.1754,0.2402,,0.2254,0.1676,0.1992,
53,2.9951,3.7237,3.209,,3.26,3.643,3.3888,,0.2782,0.177,0.2473,,0.2268,0.1672,0.2018,
54,2.9901,3.7236,3.1998,,3.248,3.64,3.3791,,0.2823,0.1764,0.2457,,0.226,0.1628,0.2016,
55,2.9829,3.7189,3.1913,,3.2509,3.6391,3.3744,,0.2826,0.1794,0.2461,,0.2266,0.1636,0.2002,
56,2.9757,3.7091,3.1827,,3.2573,3.6292,3.3803,,0.2827,0.1796,0.2483,,0.2294,0.168,0.2022,
57,2.9706,3.7116,3.1748,,3.2403,3.6261,3.3738,,0.2851,0.18,0.2489,,0.2302,0.1668,0.2014,
58,2.963,3.6974,3.1665,,3.239,3.6215,3.3587,,0.284,0.182,0.2492,,0.2266,0.1674,0.2094,
59,2.9577,3.6978,3.1574,,3.2334,3.6191,3.3601,,0.288,0.1829,0.2521,,0.2282,0.1706,0.2046,
60,2.9515,3.6969,3.1496,,3.2343,3.6168,3.3581,,0.2887,0.183,0.2529,,0.2296,0.167,0.2064,
61,2.9446,3.6947,3.1422,,3.2355,3.6107,3.3469,,0.2878,0.1833,0.2572,,0.2272,0.1698,0.2086,
62,2.9391,3.6825,3.1348,,3.2291,3.6038,3.3452,,0.2934,0.1848,0.2599,,0.2296,0.171,0.2076,
63,2.9331,3.6794,3.1263,,3.2272,3.6019,3.3411,,0.293,0.1852,0.2597,,0.233,0.1706,0.2098,
64,2.9272,3.6798,3.119,,3.2193,3.6004,3.3393,,0.2946,0.1859,0.2589,,0.2318,0.1718,0.215,
65,2.9209,3.6691,3.1106,,3.2176,3.5921,3.3298,,0.2941,0.1866,0.2612,,0.2328,0.1748,0.2118,
66,2.916,3.6713,3.1023,,3.2285,3.5896,3.3268,,0.2952,0.1877,0.2617,,0.2344,0.1736,0.2148,
67,2.9085,3.6632,3.095,,3.2304,3.5866,3.3209,,0.2926,0.1893,0.2626,,0.235,0.1738,0.2092,
68,2.9029,3.6594,3.0873,,3.2157,3.5835,3.3142,,0.2987,0.1894,0.2653,,0.2336,0.1722,0.2104,
69,2.8973,3.6559,3.0808,,3.214,3.5813,3.3127,,0.3009,0.1903,0.2682,,0.2286,0.174,0.2172,
70,2.8908,3.6438,3.0729,,3.2206,3.5754,3.3093,,0.2993,0.1914,0.2675,,0.2286,0.1744,0.2194,
71,2.8862,3.6484,3.0649,,3.203,3.5745,3.3039,,0.3048,0.1923,0.2695,,0.2342,0.1748,0.2174,
72,2.8799,3.6467,3.0574,,3.2128,3.5716,3.3044,,0.3036,0.1928,0.2716,,0.2266,0.1758,0.2152,
73,2.874,3.6354,3.049,,3.1956,3.5683,3.3061,,0.306,0.1921,0.2686,,0.238,0.1748,0.2164,
74,2.8685,3.6388,3.0432,,3.1947,3.5687,3.2903,,0.3068,0.1926,0.2744,,0.232,0.176,0.2202,
75,2.8615,3.6404,3.0356,,3.2018,3.5676,3.2902,,0.3074,0.1935,0.2758,,0.2364,0.1744,0.2192,
76,2.856,3.6347,3.0285,,3.2059,3.5645,3.2967,,0.3036,0.1926,0.2743,,0.2408,0.1762,0.2186,
77,2.8504,3.6294,3.021,,3.1916,3.5623,3.2804,,0.3108,0.1941,0.2793,,0.2384,0.1768,0.2218,
78,2.8451,3.6301,3.0146,,3.2022,3.5586,3.2802,,0.308,0.195,0.2788,,0.2356,0.1782,0.2226,
79,2.8392,3.6299,3.0074,,3.1879,3.5584,3.2803,,0.3112,0.1956,0.2786,,0.2394,0.178,0.2186,
80,2.8327,3.6274,2.9992,,3.2079,3.5568,3.2774,,0.3098,0.1964,0.2808,,0.2356,0.1788,0.221,
81,2.8272,3.6235,2.9938,,3.1829,3.5545,3.2758,,0.3136,0.1952,0.2813,,0.241,0.178,0.226,
82,2.8209,3.6221,2.9864,,3.1873,3.554,3.2727,,0.314,0.1966,0.2839,,0.2386,0.1766,0.2186,
83,2.8161,3.6227,2.9802,,3.1933,3.5535,3.2707,,0.3135,0.1972,0.2844,,0.237,0.1786,0.2214,
84,2.8092,3.6186,2.9732,,3.1974,3.5497,3.2664,,0.3137,0.1972,0.2864,,0.2372,0.1794,0.2276,
85,2.8044,3.6167,2.9657,,3.1835,3.5486,3.2681,,0.3192,0.1977,0.2862,,0.2394,0.1796,0.223,
86,2.7993,3.6165,2.9585,,3.1847,3.546,3.2631,,0.3175,0.1976,0.2904,,0.239,0.1788,0.2254,
87,2.7937,3.6135,2.9524,,3.1729,3.5454,3.2498,,0.3193,0.1976,0.292,,0.2432,0.1802,0.2292,
88,2.787,3.6099,2.9445,,3.1725,3.5438,3.2584,,0.3225,0.1979,0.2914,,0.246,0.1796,0.2284,
89,2.7824,3.607,2.939,,3.1768,3.5427,3.2604,,0.3198,0.1987,0.2916,,0.239,0.1818,0.2228,
90,2.7753,3.6078,2.9319,,3.168,3.5399,3.2528,,0.324,0.1996,0.2941,,0.2404,0.1812,0.224,
91,2.7701,3.6044,2.9259,,3.1627,3.5396,3.2461,,0.3265,0.1999,0.2936,,0.2434,0.182,0.2264,
92,2.7638,3.6023,2.9199,,3.1665,3.5381,3.2405,,0.3252,0.2,0.299,,0.246,0.1802,0.2312,
93,2.7595,3.6016,2.9131,,3.1785,3.5383,3.2404,,0.3255,0.2,0.2972,,0.2406,0.182,0.2248,
94,2.7526,3.5999,2.9057,,3.1603,3.5369,3.2319,,0.3298,0.2003,0.3004,,0.2464,0.1826,0.229,
95,2.7471,3.6023,2.8996,,3.1583,3.5366,3.2419,,0.3304,0.2004,0.3001,,0.2446,0.1812,0.2252,
96,2.7407,3.5981,2.8938,,3.1777,3.5341,3.2331,,0.3317,0.2006,0.3012,,0.2384,0.1816,0.2266,
97,2.7351,3.5938,2.8867,,3.1622,3.5329,3.2371,,0.3332,0.2007,0.3052,,0.2408,0.1814,0.2322,
98,2.7299,3.5983,2.8804,,3.172,3.533,3.2301,,0.3339,0.2007,0.3078,,0.2414,0.182,0.222,
99,2.7257,3.5952,2.8748,,3.1754,3.5326,3.235,,0.3286,0.2015,0.3035,,0.2398,0.1814,0.2266,
100,2.7183,3.5934,2.868,,3.1524,3.5315,3.2237,,0.3356,0.2015,0.3082,,0.2454,0.1816,0.2302,
